ASIN,Product Name,Price,Original Price,Rating,Sales Volume,Offers,Best Seller,Amazon Choice,Climate Friendly
B09NZQJRN7,"VTech DECT 6.0 Cordless Phone - Blue Display, Big Buttons, Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range - White/Grey",18.45,,4.3,2000.0,2,False,False,False
B085TCRFST,"Alcatel 1 (16GB) 5.0&quot; Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US &amp; Global 4G LTE International Version 5033E (Bluish Black)",41.99,44.7,3.6,1000.0,7,False,False,False
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",269.99,294.0,3.9,2000.0,69,False,False,True
B0CMDL3H3V,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black",798.0,999.99,4.5,1000.0,2,False,False,True
B0CSB22F9C,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",149.94,,4.1,4000.0,14,False,False,False
B0D5T7318W,Bold K10 | 2024 | 3-Day Battery | Unlocked | 6.6” HD+ Infinity Display | 128/4GB | Triple 50MP Camera | US Version | US Warranty | Black,99.99,,3.6,200.0,6,False,False,False
B086QCGQ8C,"AT&amp;T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",78.95,,4.3,3000.0,3,False,False,False
B0CD99XXQY,"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint",499.99,599.99,4.5,200.0,2,False,False,True
B0CSF1MRRR,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,89.99,129.99,3.9,300.0,5,False,False,False
B0CJCTW1C5,Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue,59.99,,3.3,1000.0,2,False,False,False
B08H8VZ6PV,Google Pixel 4a with 5G - Android Phone - New Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,159.0,,4.3,500.0,18,False,False,False
B01H1E3EAA,"AT&amp;T TRIMLINE 213 Corded Home Phone with Extra Big Buttons &amp; Visual Ringer. No AC Power Required, Improved Easy-Wall-Mount, Lighted Keypad, 10 Speed Dial Keys, Volume Control, Senior Friendly. White",17.56,19.95,4.4,900.0,2,False,False,False
B08L34JQ9C,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Navy - Unlocked (Renewed)",166.99,,3.9,2000.0,53,False,False,True
B0CHH6X6H2,Total by Verizon | Samsung Galaxy A03s | Locked | 32GB | 5000mAh Battery | 48MP Main Camera | 6.5-in. HD+Infinity-V Display | Black,49.99,,3.8,1000.0,3,False,False,False
B0C7LNLS9P,"TracFone Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked/Renewed)",24.99,,4.3,500.0,1,False,False,False
B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,344.95,499.0,4.3,1000.0,21,False,False,True
B0CTD42NJZ,"SAMSUNG Galaxy A15 5G (SM-156M/DSN), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",183.69,199.0,4.3,1000.0,7,False,False,False
B0DFB9SNBR,TCL ION Z Unlock Smartphone 4G LTE 32GB - Black,39.0,,4.08753709198813,50.0,1,False,False,False
B0D9N1517Y,"I14 Pro Max Unlocked Smartphone, 6+256GB, Android 13.0 Unlocked Cell Phones, 6.82&quot; HD Screen Battery 6800mAH with 128GB Memory Card/Face ID/Fingerprint Lock/Dual SIM 5G Phone (Blue)",158.99,,4.7,100.0,1,False,False,False
B09X7F2GCG,"TracFone TCL Flip 2, 8GB, Black - Prepaid Flip Phone (Locked)",19.99,,4.0,1000.0,1,False,False,False
B08PPDJWC8,"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed)",232.0,,4.1,2000.0,16,False,False,True
B0CLHJZJZB,"Samsung Galaxy S23 Fan Edition(FE) 5G (SM-S711B/DS) Dual SIM,256GB + 8GB, Factory Unlocked, International Version - No Warranty - (Purple)",479.72,,4.3,50.0,3,False,False,False
B08H8X23ZB,Google Pixel 5 - 5G Android Phone - Water Resistant - Unlocked Smartphone with Night Sight and Ultrawide Lens - Just Black,284.99,,4.4,100.0,6,False,False,False
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",98.52,172.0,3.7,2000.0,23,False,False,False
B0CCT2BR1J,Tracfone Samsung Galaxy A14 5G Locked 64GB 5000mAh Battery 50 MP triple-camera system 6.6-in. FHD+ LCD Display Black,99.88,119.99,4.2,200.0,2,False,False,False
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",209.99,249.0,3.9,2000.0,5,False,False,True
B0CGWF3F64,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Summer Lilac, 73.95 x 170.82 x 7.35mm",699.99,,4.0,200.0,2,False,False,False
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",88.82,98.27,3.8,500.0,31,False,False,False
B07JMHLP7B,Panasonic DECT 6.0 Expandable Cordless Phone System with Answering Machine and Call Blocking - 3 Handsets - KX-TGE633M (Metallic Black),99.99,,4.3,900.0,3,False,False,False
B088NQXD8T,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",128.0,156.86,4.3,2000.0,40,False,False,True
B088MKVYTF,"Alcatel SMARTFLIP 4052R | 4G LTE | 4GB Flip-Phone | Bluetooth, WiFi, Big Buttons | Carrier locked to AT&amp;T. Phone is not unlocked - Volcano Black",41.9,,3.9,500.0,10,False,False,False
B08PMYLKVF,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",387.0,521.01,4.2,1000.0,17,False,False,True
B09YDMWFT1,Motorola Moto Edge 5G UW 256gb Nebula Blue for Verizon (Renewed),96.26,124.56,4.1,50.0,10,False,False,False
B096T56NRH,"Samsung Galaxy S21 Ultra 5G, US Version, 256GB, Phantom Black - Unlocked (Renewed)",358.99,,4.1,200.0,14,False,False,True
B08PNCYYVZ,"Apple iPhone 12, 128GB, Black - Fully Unlocked (Renewed)",287.3,314.99,4.1,2000.0,20,True,False,False
B0CMDLJR6K,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Marble Gray",,,4.4,200.0,1,False,False,True
B0DC6L8DXL,"SPIDERCASE Magnetic for iPhone 16 Plus Case,with 2 Pcs [Tempered Glass Screen Protector] Translucent Matte Back Slim Shockproof Protective Phone Case for iPhone 16 Plus 6.7&#x27;&#x27;,Black",9.99,19.99,4.3,100.0,1,False,False,False
B0BTFHM2GZ,"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",159.99,179.99,4.3,1000.0,3,False,False,False
B09LNT1F3H,"Apple iPhone 13, 128GB, Red - Unlocked (Renewed)",422.0,,4.1,500.0,29,False,False,True
B08WHKF6RJ,"Samsung Galaxy S21+ 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",229.95,,4.1,1000.0,39,False,False,True
B08HH2LBHF,"Samsung Galaxy S20 Ultra, 128GB, Cosmic Black - Fully Unlocked (Renewed)",249.95,,3.9,400.0,25,False,False,True
B0CV4NH5T9,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Lilac",349.99,399.99,4.4,500.0,3,False,False,True
B09BTB5MKT,Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,98.93,159.99,4.1,300.0,7,False,False,False
B0BV5SV5HL,Samsung Galaxy S23 Ultra 5G SM-S918B/DS Dual SIM 256GB ROM 8GB RAM GSM Factory Unlocked Global Model (Mobile Cell Phone) (Phantom Green),799.99,859.99,4.4,400.0,11,False,False,False
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",355.81,415.0,4.1,500.0,20,False,False,True
B092NTYZ78,"Panasonic Compact Cordless Phone with DECT 6.0, 1.6&quot; Amber LCD and Illuminated HS Keypad, Call Block, Caller ID, Multiple Display Languages - 1 Handset - KX-TGB810S (Black/Silver)",19.89,24.99,4.2,1000.0,3,False,False,False
B07P6Y7954,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",187.0,,4.4,2000.0,22,False,False,True
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",225.62,379.99,4.0,2000.0,38,False,False,False
B0CQ9SZJN6,"OnePlus 12R, 16GB RAM+256GB, Dual-SIM, US Factory Unlocked Android Smartphone, 5500 mAh Battery, 50MP Camera, 80W Fast Charging, 2024, Iron Gray",549.99,599.99,4.4,400.0,2,False,False,False
B09SNPBN6B,Moto G Power | 2022 | 3-Day Battery | Unlocked | Made for US by Motorola | 4/64GB | 50 MP Camera | Dark Grove,179.99,199.99,4.2,,6,False,False,False
B09LG4PSB6,Samsung Galaxy S20 FE 5G 128GB Blue Verizon (Renewed),152.93,478.98,4.1,500.0,31,False,False,True
B0CSB1GX4H,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Yellow,133.0,,4.2,500.0,16,False,False,False
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",88.99,105.0,3.8,500.0,10,False,False,False
B079Z792J7,Motorola G6 – 32 GB – Unlocked (AT&amp;T/Sprint/T-Mobile/Verizon) – Black - (U.S. Warranty) - PAAE0000US,69.72,,4.2,200.0,3,False,False,False
B08WF93R89,"Samsung Galaxy S21 5G, US Version, 256GB, Phantom Gray - Unlocked (Renewed)",238.99,849.99,4.0,400.0,15,False,False,True
B09XP9FX25,"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",169.99,189.0,3.9,200.0,14,False,False,False
B0991J62ZY,"Samsung Galaxy A12 (32GB, 3GB) 6.5&quot; HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&amp;T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",85.99,,3.8,1000.0,29,False,False,True
B0BDP9S53V,SAMSUNG S21 FE 128GB GRAY TMOBILE (Renewed),169.99,188.0,4.0,50.0,19,False,False,False
B07T1LXD8P,"Apple iPhone XR, Fully Unlocked, 64 GB - Black (Renewed)",187.0,,4.3,500.0,8,False,False,True
B0CQ5C2274,"Samsung Galaxy A15 (SM-A155F/DSN), 128GB 4GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Blue Black)",142.49,,4.1,400.0,6,False,False,False
B0CSGK59ZB,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",99.99,,4.4,600.0,4,False,False,False
B07C4WX72D,"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-loud Visual Ringer, One-touch Audio Assist on Handset up to 50dB, White",63.98,109.95,4.0,1000.0,23,False,False,False
B09Z8P34NM,"SAMSUNG Galaxy A13 LTE, Factory Unlocked Smartphone, Android Cell Phone, Water Resistant, 50MP Camera, US Version, 32GB, Black (Renewed)",89.55,,4.0,1000.0,26,False,False,False
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",399.0,499.0,4.2,1000.0,2,False,False,True
B07WRDT6DS,"Motorola O212 DECT 6.0 Long Range Cordless Phone - Wireless Phones for Home &amp; Office Phone with Answering Machine - Indoors and Outdoors, Water &amp; Dust Resistant, IP67 Certified - Black, 2 Handsets",129.95,,4.0,100.0,1,False,False,False
B0CRFB8HW4,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7&quot; Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)",111.07,119.99,4.0,500.0,10,False,False,False
B09D2ZJLLV,Panasonic KX-TG994 DECT 6.0 Bluetooth 4-Handset Phone Bundle,89.97,,4.4,700.0,14,False,False,False
B0BZG31S2R,"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 4 Handsets - KX-TGD864W (White)",99.99,119.99,4.4,1000.0,7,False,False,False
B0CMDRFVTL,"SAMSUNG Galaxy S24 Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Cobalt Violet",859.99,,4.4,100.0,2,False,False,True
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,49.99,,4.3,500.0,1,False,False,False
B0CCSZZGT7,"TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)",49.99,,4.0,400.0,1,False,False,False
B00839N5O8,VTech CS6649 Expandable Corded/Cordless Phone System with Answering System-Caller ID/Call Waiting &amp; Handset/Base Speakerphones,54.95,,4.3,500.0,2,False,False,False
B0CV1FCLLR,"Motorola Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5&quot;&quot; IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray), XT2341-2",103.12,149.99,3.8,400.0,7,False,False,False
B0CQ5JGH2Y,"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald",799.99,899.99,4.5,400.0,2,False,False,False
B0CTBCDCDH,Samsung Galaxy A05s A057M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Violet,117.9,,4.2,200.0,1,False,False,False
B000050FZP,"AT&amp;T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, White",15.95,18.86,4.2,1000.0,49,False,False,False
B09R1RKWPM,"AT&amp;T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-Wall-Mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Beige",16.14,16.95,4.3,1000.0,3,False,False,False
B0BNMD2NLP,"AT&amp;T GL2101 DECT 6.0 Cordless Home Phone with Call Block, Caller ID, Full-Duplex Handset Speakerphone, 2&quot; White Backlit Display, Lighted Keypad (Graphite &amp; Black)",24.95,,4.4,300.0,3,False,False,False
B0BBWDM8MC,"Nokia G100 | Verizon, T-Mobile, AT&amp;T | Android 12 | Unlocked Smartphone | 3-Day Battery | US Version | 4/128GB | 6.52-Inch Screen | 13MP Triple Camera | Polar Night",99.99,,3.3,100.0,2,False,False,False
B0D3LB85H2,"DOOGEE S118 4G Rugged Smartphone Unlocked,MTK G99 Android 14 20GB+512GB Waterproof Cell Phone, 6.58&quot; FHD+ 120Hz,10800mAh+ 33W,50MP Rear+32MP Front Rugged Phone, Dual SIM/OTG/GPS/NFC Black",299.99,,3.8,0.0,1,False,False,False
B0CRWKVZVP,"SAMSUNG Galaxy A15 5G 128GB, 6.5&quot;, GSM Unlocked, International Model A156M/DSN (Blue Black)",159.99,,4.1,500.0,6,False,False,False
B0CN1Q2X3B,"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",249.99,299.99,3.4,500.0,2,False,False,False
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,98.0,118.97,4.0,500.0,14,False,False,False
B07ZHPCJW3,OnePlus 7T 8GB RAM 128GB ROM US Model HD1905 Factory Unlocked 6.55 inch AMOLED 90Hz Display Dual SIM Frosted Silver US Warranty,,,3.8,0.0,1,False,False,False
